DATE,IBM_CLOSE,AAPL_CLOSE,IBM_SHARE,AAPL_SHARE
2014/8/7,184.3,94.48,2712.967987,5292.125318
2014/8/6,185.97,94.49,2688.605689,5291.565245
2014/8/5,186,94.65,2688.172043,5282.62018
2014/8/4,188.53,95.12,2652.097809,5256.518082
2014/8/1,188.04,95.65,2659.008722,5227.391532
2014/7/31,190.54,95.13,2624.120919,5255.965521
2014/7/30,192.86,97.66,2592.554184,5119.8034
2014/7/29,193.43,97.89,2584.914439,5107.774032
2014/7/28,194.63,98.53,2568.977033,5074.59657
2014/7/25,193.26,97.19,2587.188244,5144.562198
2014/7/24,194.09,96.55,2576.124478,5178.663905
2014/7/23,192.49,96.71,2597.537534,5170.096164
2014/7/22,192.95,94.25,2591.344908,5305.039788
2014/7/21,189.73,93.48,2635.323881,5348.737698
2014/7/18,191.37,93.96,2612.739719,5321.413367
2014/7/17,191.36,92.63,2612.876254,5397.819281
2014/7/16,191.23,94.31,2614.652513,5301.664723
2014/7/15,187.38,94.85,2668.374426,5271.481286
2014/7/14,188.74,95.97,2649.146975,5209.961446
2014/7/11,186.89,94.75,2675.370539,5277.044855
2014/7/10,186.6,94.57,2679.528403,5287.088929
2014/7/9,187.31,94.92,2669.37163,5267.593763
2014/7/8,186.12,94.88,2686.438857,5269.814503
2014/7/7,186.93,95.5,2674.798053,5235.602094
2014/7/3,187.42,93.56,2667.80493,5344.164173
2014/7/2,187.28,93.02,2669.799231,5375.188132
2014/7/1,185.25,93.06,2699.055331,5372.877713
2014/6/30,180.2,92.47,2774.694784,5407.159079
2014/6/27,180.64,91.52,2767.936227,5463.286713
2014/6/26,179.31,90.45,2788.466901,5527.915976
2014/6/25,179.66,89.91,2783.034621,5561.116672
2014/6/24,179.82,89.83,2780.558336,5566.069242
2014/6/23,181.07,90.38,2761.363009,5532.197389
2014/6/20,180.48,90.46,2770.390071,5527.304886
2014/6/19,181.75,91.41,2751.031637,5469.861066
2014/6/18,182.52,91.72,2739.425816,5451.373746
2014/6/17,181.19,91.62,2759.534191,5457.323728
2014/6/16,181.28,91.74,2758.164166,5450.185306
2014/6/13,181.49,90.83,2754.972726,5504.789167
2014/6/12,180.15,91.83,2775.46489,5444.843733
2014/6/11,181.18,93.4,2759.6865,5353.319058
2014/6/10,183.21,93.78,2729.108673,5331.627213
2014/6/9,185.13,93.24,2700.80484,5362.505363
2014/6/6,185.27,91.77,2698.763966,5448.403618
2014/6/5,184.89,92.02,2704.310671,5433.601391
2014/6/4,183.43,91.66,2725.835469,5454.942178
2014/6/3,183.29,90.63,2727.917508,5516.936997
2014/6/2,184.6,89.36,2708.559047,5595.344673
2014/5/30,183.28,89.98,2728.066347,5556.790398
2014/5/29,182.68,90.32,2737.026494,5535.872453
2014/5/28,182,88.7,2747.252747,5636.978579
2014/5/27,183.69,88.93,2721.977244,5622.39964
2014/5/23,184.85,87.3,2704.895862,5727.376861
2014/5/22,184.59,86.32,2708.70578,5792.400371
2014/5/21,185.29,86.19,2698.472664,5801.137023
2014/5/20,183.8,85.96,2720.348205,5816.658911
2014/5/19,185.9,85.94,2689.618074,5818.012567
2014/5/16,185.96,84.94,2688.750269,5886.508123
2014/5/15,185.36,83.7,2697.453604,5973.715651
2014/5/14,187.61,84.42,2665.103139,5922.767117
2014/5/13,191.06,84.4,2616.978959,5924.170616
2014/5/12,191.44,84.27,2611.784371,5933.3096
2014/5/9,188.96,83.23,2646.062659,6007.449237
2014/5/8,187.8,83.58,2662.406816,5982.292414
2014/5/7,188.19,83.73,2656.889314,5971.575302
2014/5/6,187.82,84.03,2662.12331,5950.255861
2014/5/5,189.03,84.95,2645.082791,5885.815185
2014/5/2,189.21,83.77,2642.566461,5968.723887
2014/5/1,191.28,83.61,2613.969051,5980.145916
2014/4/30,194.18,83.42,2574.930477,5993.766483
2014/4/29,192.84,83.73,2592.823066,5971.575302
2014/4/28,190.89,83.98,2619.30955,5953.798523
2014/4/25,187.42,80.85,2667.80493,6184.291899
2014/4/24,188.01,80.26,2659.433009,6229.753302
2014/4/23,189.5,74.18,2638.522427,6740.361283
2014/4/22,189.91,75.16,2632.826076,6652.474721
